Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Ürün puan sayısı (product.metafields.reviews.rating_count),Renk (product.metafields.shopify.color-pattern),Hedef Cinsiyet (product.metafields.shopify.target-gender),Tamamlayıcı ürünler (product.metafields.shopify--discovery--product_recommendation.complementary_products),Alakalı ürünler (product.metafields.shopify--discovery--product_recommendation.related_products),İlgili ürün ayarları (product.metafields.shopify--discovery--product_recommendation.related_products_display),Ürün tanıtımlarında ara (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
cococlup-gunes-enerjili-kamp-bahce-balkon-aydinlatma-sistemi,cococlup Güneş Enerjili Kamp Bahçe Balkon Aydınlatma Sistemi,"<p>cococlup cococlup Güneş Enerjili Kamp Bahçe Balkon Aydınlatma Sistemi.</p>
<h3>Ürün Özellikleri:</h3>
<ul>
<li>
<strong>Garanti Süresi:</strong> 2 Yıl</li>
<li>
<strong>Panel Güç (Watt):</strong> 401-450</li>
<li>
<strong>Panel Volt:</strong> 12</li>
<li>
<strong>Menşei:</strong> DK</li>
</ul>
<p> </p>",cococlup,Uncategorized,Çay & Gıda,"12, 2 yıl, 401-450, cococlup, dk, import, trendyol",true,Varyant,Standart,,,,,,,,COCOCLUP-1750837128190-0,0.0,shopify,20,deny,manual,1842.30,,true,true,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_b5f8f22c-71e7-480e-a599-8c2fb4e3004c.jpg?v=1750837133,1,cococlup Güneş Enerjili Kamp Bahçe Balkon Aydınlatma Sistemi - Görsel 1,false,,,,,,,,,,,,,,,,,,,,,,,kg,,1599.00,active
cococlup-gunes-enerjili-kamp-bahce-balkon-aydinlatma-sistemi,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_b6fba3e6-f163-463b-9cb3-74fe3f6ef621.jpg?v=1750837133,2,cococlup Güneş Enerjili Kamp Bahçe Balkon Aydınlatma Sistemi - Görsel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
cococlup-gunes-enerjili-kamp-bahce-balkon-aydinlatma-sistemi,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_2a5d9668-7d82-4075-8fee-a4420f330082.jpg?v=1750837133,3,cococlup Güneş Enerjili Kamp Bahçe Balkon Aydınlatma Sistemi - Görsel 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
cococlup-gunes-enerjili-kamp-bahce-balkon-aydinlatma-sistemi,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_dfd8f33c-07b1-4948-98c2-1ac1630100de.jpg?v=1750837133,4,cococlup Güneş Enerjili Kamp Bahçe Balkon Aydınlatma Sistemi - Görsel 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
cococlup-gunes-enerjili-kamp-bahce-balkon-aydinlatma-sistemi,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_e4103f92-97a5-4d5a-9edc-ad0357ac2b57.jpg?v=1750837133,5,cococlup Güneş Enerjili Kamp Bahçe Balkon Aydınlatma Sistemi - Görsel 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
biodermine-selulit-karsiti-ve-vucut-sikilastirici-masaj-yagi,Biodermine Selülit Karşıtı Ve Vücut Sıkılaştırıcı Masaj Yağı,"<p>Biodermine Biodermine Selülit Karşıtı Ve Vücut Sıkılaştırıcı Masaj Yağı.</p>
<h3>Ürün Özellikleri:</h3>
<ul>
<li>
<strong>Form:</strong> Yağ</li>
<li>
<strong>Hacim:</strong> 100 ml</li>
<li>
<strong>Ek Özellik:</strong> Vegan</li>
</ul>
<p> </p>",Biodermine,Uncategorized,Çay & Gıda,"100 ml, biodermine, import, trendyol, vegan, yağ",true,Title,Default Title,,,,,,,,BIODERMINE-1750836417896-0,0.0,shopify,20,deny,manual,287.50,,true,true,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_eab4ad1d-3265-4a76-afc7-528e4553c867.jpg?v=1750836421,1,Biodermine Selülit Karşıtı Ve Vücut Sıkılaştırıcı Masaj Yağı - Görsel 1,false,,,,,,,,,,,,,,,,,,,,,,,kg,,250.00,active
biodermine-selulit-karsiti-ve-vucut-sikilastirici-masaj-yagi,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_076815af-4a05-47ff-969e-10163e57f1a1.jpg?v=1750836421,2,Biodermine Selülit Karşıtı Ve Vücut Sıkılaştırıcı Masaj Yağı - Görsel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
biodermine-selulit-karsiti-ve-vucut-sikilastirici-masaj-yagi,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_91f6fdde-bd83-487b-95bc-7b6ef1c95b94.jpg?v=1750836421,3,Biodermine Selülit Karşıtı Ve Vücut Sıkılaştırıcı Masaj Yağı - Görsel 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
biodermine-biodermine-sikilastirici-jel-kirmizi-biber,Biodermine Bıodermıne Sıkılaştırıcı Jel Kırmızı Biber,"<p>Biodermine Biodermine Bıodermıne Sıkılaştırıcı Jel Kırmızı Biber.</p>
<h3>Ürün Özellikleri:</h3>
<ul>
<li>
<strong>Kullanma Amacı:</strong> Sıkılaştırıcı</li>
<li>
<strong>Form:</strong> Jel</li>
<li>
<strong>Ek Özellik:</strong> Anti Alerjik</li>
<li>
<strong>Hacim:</strong> 250 - 499 ml</li>
<li>
<strong>Menşei:</strong> TR</li>
</ul>
<p> </p>",Biodermine,Uncategorized,Çay & Gıda,"250 - 499 ml, anti alerjik, biodermine, import, jel, sıkılaştırıcı, tr, trendyol",true,Title,Default Title,,,,,,,,BIODERMINE-1750836053059-0,0.0,shopify,20,deny,manual,454.25,,true,true,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_18bc4422-c326-44cc-b428-feea610bbd3f.jpg?v=1750836054,1,Biodermine Bıodermıne Sıkılaştırıcı Jel Kırmızı Biber - Görsel 1,false,,,,,,,,,,,,,,,,,,,,,,,kg,,395.00,active
embeauty-inceltici-sklatrc-sellit-ve-atlak-gideric,"Embeauty Inceltici , Sıkılaştırıcı, Selülit Ve Çatlak Giderici Vücut Şekillendirici Jel 250 ml","Embeauty Embeauty Inceltici , Sıkılaştırıcı, Selülit Ve Çatlak Giderici Vücut Şekillendirici Jel 250 ml. <h3>Ürün Özellikleri:</h3><ul>
<li>
<strong>Form:</strong> Jel</li>
<li>
<strong>Hacim:</strong> 250 ml</li>
<li>
<strong>Ek Özellik:</strong> Paraben İçermeyen</li>
<li>
<strong>Tip:</strong> Kavanoz</li>
<li>
<strong>Menşei:</strong> TR</li>
<li>
<strong>Üretici Bilgisi:</strong> MFB KOZMETİK LİMİTED ŞİRKETİ · KEMALPAŞA MAH. NEBİOĞLU SOK. BATILI KARDESLER NO:26A KÜÇÜKÇEKMECE - KÜÇÜKÇEKMECE / İSTANBUL / TÜRKİYE - info@embeauty.com.tr</li>
</ul>",Embeauty,Uncategorized,Genel,"Ek Özellik: Paraben İçermeyen, Form: Jel, Hacim: 250 ml, Menşei: TR, Tip: Kavanoz, Üretici Bilgisi: MFB KOZMETİK LİMİTED ŞİRKETİ · KEMALPAŞA MAH. NEBİOĞLU SOK. BATILI KARDESLER NO:26A KÜÇÜKÇEKMECE - KÜÇÜKÇEKMECE / İSTANBUL / TÜRKİYE - info@embeauty.com.tr",true,Title,Default Title,,,,,,,,embeauty-inceltici-sklatrc-sellit-ve-atlak-gideric-varsayılan-standart,0.0,,25,deny,manual,329.16,,true,true,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_f1e0755e-0607-48ae-9fc3-bf8c28654f8b.jpg?v=1750834611,1,"Embeauty Inceltici , Sıkılaştırıcı, Selülit Ve Çatlak Giderici Vücut Şekillendirici Jel 250 ml Varsayılan Standart",false,"Embeauty Inceltici , Sıkılaştırıcı, Selülit Ve Çatlak Giderici Vücut Şekillendirici Jel 250 ml | Embeauty","Embeauty Embeauty Inceltici , Sıkılaştırıcı, Selülit Ve Çatlak Giderici Vücut Şekillendirici Jel 250 ml. <h3>Ürün Özellikleri:</h3><ul><li><strong>Form:</strong",,,,,,,,,,,,,,,,,,,,,kg,,286.23,active
embeauty-inceltici-sklatrc-sellit-ve-atlak-gideric,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_bb6d44c2-e0e5-48ea-a1c2-5d87daa3b244.jpg?v=1750834611,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,
embeauty-inceltici-sklatrc-sellit-ve-atlak-gideric,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_6c6b12b6-3ac0-425f-b1fa-08b00e4dafdc.jpg?v=1750834611,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,
embeauty-inceltici-sklatrc-sellit-ve-atlak-gideric,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_d877e7c2-3f2b-48b7-9dce-61d945d3dab5.jpg?v=1750834611,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,
embeauty-inceltici-sklatrc-sellit-ve-atlak-gideric,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_05a71337-bc51-40c1-8672-4f9b9ba33567.jpg?v=1750834611,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,
embeauty-inceltici-sklatrc-sellit-ve-atlak-gideric,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_0c702bab-58ae-4c32-9086-2cc6b18102bb.jpg?v=1750834611,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,
embeauty-inceltici-sklatrc-sellit-ve-atlak-gideric,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_6092ff43-a403-4e2d-9604-e166131fe320.jpg?v=1750834611,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,
embeauty-inceltici-sklatrc-sellit-ve-atlak-gideric,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_b7bed0a8-4523-43ec-b0f4-7adbaccc51b2.jpg?v=1750834611,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,
tanay-ceylon-i̇thal-sri-lanka-siyah-yaprak-seylan-cayi-kacak-cay-750-gr,Tanay Ceylon İthal Sri Lanka Siyah Yaprak Seylan Çayı Kaçak Çay 750 gr,"<p><strong>Tanay Ceylon İthal Sri Lanka Siyah Yaprak Seylan Çayı</strong></p>
<p>Premium Ceylon çayı, Sri Lanka menşeli. 750 gram büyük paket.</p>
<h3>Ürün Özellikleri:</h3>
<ul>
<li>
<strong>Menşei:</strong> LK (Sri Lanka)</li>
<li>
<strong>İthalatçı:</strong> ÖZ-GÜR ÇAY SAN.A.Ş.</li>
<li>
<strong>Gıda İşletmesi Kayıt No:</strong> TR-53-K000516</li>
<li>
<strong>Ağırlık:</strong> 750 gr</li>
<li>
<strong>Tip:</strong> Ceylon Siyah Yaprak Çay</li>
</ul>
<p> </p>",Tanay,Uncategorized,Çay & Kahve,"750gr, ceylon, ithal, siyah çay, sri lanka, tanay, yaprak çay",true,Boyut,750 Gr,,,,,,,,TANAY-CEYLON-750-FINAL,0.0,shopify,30,deny,manual,603.75,,true,true,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_4a03d6fe-0acd-4a55-846f-3fca38287085.jpg?v=1750801513,1,Tanay Ceylon Çayı - Ana Görsel,false,,,,,,,,,,,,,,,,,,,,,,,kg,,525.00,active
tanay-ceylon-i̇thal-sri-lanka-siyah-yaprak-seylan-cayi-kacak-cay-750-gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_62b65445-7c41-437a-8516-c0fb5817fbc3.jpg?v=1750801513,2,Tanay Ceylon Çayı - Ürün Detay,,,,,,,,,,,,,,,,,,,,,,,,,,,
tanay-ceylon-i̇thal-sri-lanka-siyah-yaprak-seylan-cayi-kacak-cay-750-gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_c06ee39e-5c1c-47f4-95d3-097624f81076.jpg?v=1750801513,3,Tanay Ceylon Çayı - Ambalaj,,,,,,,,,,,,,,,,,,,,,,,,,,,
tanay-ceylon-i̇thal-sri-lanka-siyah-yaprak-seylan-cayi-kacak-cay-750-gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_30334a95-f4c2-4667-9c13-4e7e73a1a0d4.jpg?v=1750801513,4,Tanay Ceylon Çayı - Etiket,,,,,,,,,,,,,,,,,,,,,,,,,,,
tanay-ceylon-i̇thal-sri-lanka-siyah-yaprak-seylan-cayi-kacak-cay-750-gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_f5095dcf-6efd-4c56-8382-b7c07f8b7731.jpg?v=1750801513,5,Tanay Ceylon Çayı - Kalite,,,,,,,,,,,,,,,,,,,,,,,,,,,
mahbuba-std-2571-earl-grey-bergamot-aromal-ithal-s,Mahbuba Std 2571 Earl Grey Bergamot Aromalı Ithal Seylan Sri Lanka Ceylon Kaçak Siyah Yaprak Çayı 200gr,"Mahbuba Mahbuba Std 2571 Earl Grey Bergamot Aromalı Ithal Seylan Sri Lanka Ceylon Kaçak Siyah Yaprak Çayı 200gr. <h3>Ürün Özellikleri:</h3><ul>
<li>
<strong>Ağırlık:</strong> 200 g</li>
<li>
<strong>Menşei:</strong> LK</li>
<li>
<strong>İthalatçı/ Yetkili Temsilci/ İfa Hizmet Sağlayıcı:</strong> AKTÜRK SAĞLIK GIDA ELEKT.VE NAK. SAN.VE TİC. LTD. ŞTİ.</li>
<li>
<strong>Üretici Bilgisi:</strong> AKTÜRK SAĞLIK GIDA ELEKT.VE NAK. SAN.VE TİC. LTD. ŞTİ.</li>
<li>
<strong>Alerjen Uyarıları:</strong> BULUNMAMAKTADIR.</li>
<li>
<strong>Gıda İşletmesi Kayıt Numarası:</strong> TR-27-K-011626</li>
</ul>",Mahbuba,Uncategorized,Genel,"Alerjen Uyarıları: BULUNMAMAKTADIR., Ağırlık: 200 g, Gıda İşletmesi Kayıt Numarası: TR-27-K-011626, İthalatçı/ Yetkili Temsilci/ İfa Hizmet Sağlayıcı: AKTÜRK SAĞLIK GIDA ELEKT.VE NAK. SAN.VE TİC. LTD. ŞTİ., Menşei: LK, Üretici Bilgisi: AKTÜRK SAĞLIK GIDA ELEKT.VE NAK. SAN.VE TİC. LTD. ŞTİ.",true,Title,Default Title,,,,,,,,mahbuba-std-2571-earl-grey-bergamot-aromal-ithal-s-varsayılan-standart,0.0,,25,deny,manual,274.85,,true,true,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_11ed063c-ce55-4580-8938-5215bb6f3924.jpg?v=1750799488,1,Mahbuba Std 2571 Earl Grey Bergamot Aromalı Ithal Seylan Sri Lanka Ceylon Kaçak Siyah Yaprak Çayı 200gr Varsayılan Standart,false,Mahbuba Std 2571 Earl Grey Bergamot Aromalı Ithal Seylan Sri Lanka Ceylon Kaçak Siyah Yaprak Çayı 200gr | Mahbuba,Mahbuba Mahbuba Std 2571 Earl Grey Bergamot Aromalı Ithal Seylan Sri Lanka Ceylon Kaçak Siyah Yaprak Çayı 200gr. <h3>Ürün Özellikleri:</h3><ul><li><strong>Ağırl,,,,,,,,,,,,,,,,,,,,,kg,,239.00,active
mahbuba-std-2571-earl-grey-bergamot-aromal-ithal-s,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_3ef2d3f2-55d3-4794-8fe0-77f0e28a0863.jpg?v=1750799488,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,
