"Position","Image URL","Group ID","Image ID","Type","Quality","Color Variant","Description","Alt Text","Group Size","Is Main Image"
"1","https://cdn.dsmcdn.com/ty976/product/media/images/20230801/15/398949240/903474114/1/1_org_zoom.jpg","398949240/903474114","398949240/903474114/1","main","high","Turuncu","Görsel 1","Sayina Mayo Comprehensive Test - Turuncu - Görsel 1","19","YES"
"2","https://cdn.dsmcdn.com/ty977/product/media/images/20230801/15/398949332/903542807/1/1_org_zoom.jpg","398949332/903542807","398949332/903542807/1","main","high","Varyant 1","Görsel 1","Sayina Mayo Comprehensive Test - Varyant 1 - Görsel 1","1","YES"
"3","https://cdn.dsmcdn.com/ty977/product/media/images/20230801/15/398949321/903466374/1/1_org_zoom.jpg","398949321/903466374","398949321/903466374/1","main","high","Varyant 2","Görsel 1","Sayina Mayo Comprehensive Test - Varyant 2 - Görsel 1","1","YES"
"4","https://cdn.dsmcdn.com/ty977/product/media/images/20230801/15/398949288/903472608/1/1_org_zoom.jpg","398949288/903472608","398949288/903472608/1","main","high","Varyant 3","Görsel 1","Sayina Mayo Comprehensive Test - Varyant 3 - Görsel 1","1","YES"
"5","https://cdn.dsmcdn.com/ty977/product/media/images/20230801/15/398949249/903464877/1/1_org_zoom.jpg","398949249/903464877","398949249/903464877/1","main","high","Varyant 4","Görsel 1","Sayina Mayo Comprehensive Test - Varyant 4 - Görsel 1","1","YES"
"6","https://cdn.dsmcdn.com/ty976/product/media/images/20230801/15/398949287/903462315/1/1_org_zoom.jpg","398949287/903462315","398949287/903462315/1","main","high","Varyant 5","Görsel 1","Sayina Mayo Comprehensive Test - Varyant 5 - Görsel 1","1","YES"
"7","https://cdn.dsmcdn.com/ty977/product/media/images/20230801/15/398949239/903463074/1/1_org_zoom.jpg","398949239/903463074","398949239/903463074/1","main","high","Varyant 6","Görsel 1","Sayina Mayo Comprehensive Test - Varyant 6 - Görsel 1","1","YES"
"8","https://cdn.dsmcdn.com/ty977/product/media/images/20230801/15/398949333/903435467/1/1_org_zoom.jpg","398949333/903435467","398949333/903435467/1","main","high","Varyant 7","Görsel 1","Sayina Mayo Comprehensive Test - Varyant 7 - Görsel 1","1","YES"
"9","https://cdn.dsmcdn.com/ty975/product/media/images/20230801/15/398949313/903439905/1/1_org_zoom.jpg","398949313/903439905","398949313/903439905/1","main","high","Varyant 8","Görsel 1","Sayina Mayo Comprehensive Test - Varyant 8 - Görsel 1","1","YES"
"10","https://cdn.dsmcdn.com/ty976/product/media/images/20230801/15/398949353/903462331/1/1_org_zoom.jpg","398949353/903462331","398949353/903462331/1","main","high","Varyant 9","Görsel 1","Sayina Mayo Comprehensive Test - Varyant 9 - Görsel 1","1","YES"
