Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,sayina Kadın Sarı Tek Omuz Kemer Detaylı Balenli Özel Tasarım Astarlı Şık Butik Mayo,"<div class="product-description"><h3>Premium Boutique Mayo</h3><p>12 farklı renk seçeneği ile üretilmiş özel tasarım mayo.</p></div>",Sayina,Giyim > Kadın > Plaj & Mayo,Mayo,"boutique,mayo,multi-color,swimwear",TRUE,Renk,Sarı,Beden,38,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--sarı-38,100,shopify,10,deny,manual,1601.98,1676.73,TRUE,TRUE,,https://cdn.dsmcdn.com/ty977/product/media/images/20230801/15/398949332/903542807/1/1_org_zoom.jpg,1,Sayina sayina Kadın Sarı Tek Omuz Kemer Detaylı Balenli Özel Tasarım Astarlı Şık Butik Mayo - Sarı,FALSE,sayina Kadın Sarı Tek Omuz Kemer Detaylı Balenli Özel Tasarım Astarlı Şık Butik Mayo,Sayina sayina Kadın Sarı Tek Omuz Kemer Detaylı Balenli Özel Tasarım Astarlı Şık Butik Mayo - 12 renk seçeneği,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Sarı,,40,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--sarı-40,100,shopify,10,deny,manual,1601.98,1676.73,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty977/product/media/images/20230801/15/398949332/903542807/1/1_org_zoom.jpg,2,Sayina sayina Kadın Sarı Tek Omuz Kemer Detaylı Balenli Özel Tasarım Astarlı Şık Butik Mayo - Sarı - Resim 2,,,,
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty977/product/media/images/20230801/15/398949332/903542807/1/1_org_zoom.jpg,3,Sayina sayina Kadın Sarı Tek Omuz Kemer Detaylı Balenli Özel Tasarım Astarlı Şık Butik Mayo - Sarı - Resim 3,,,,
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Turuncu,,38,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--turuncu-38,100,shopify,10,deny,manual,1601.98,1676.73,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Turuncu,,40,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--turuncu-40,100,shopify,10,deny,manual,1601.98,1676.73,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Lacivert,,36,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--lacivert-36,100,shopify,10,deny,manual,3541.10,3615.91,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Lacivert,,38,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--lacivert-38,100,shopify,10,deny,manual,3541.10,3615.91,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Lacivert,,42,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--lacivert-42,100,shopify,10,deny,manual,3541.10,3615.91,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Lacivert,,44,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--lacivert-44,100,shopify,10,deny,manual,3541.10,3615.91,TRUE,TRUE,,,,,FALSE,,,active
