Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,sayina Kadın Sarı Tek Omuz Kemer Detaylı Balenli Özel Tasarım Astarlı Şık Butik Mayo,""
    <div class=""product-description"">
      <h3>Ürün Özellikleri</h3>
      <ul>
        <li><strong>Materyal:</strong> Poliamid</li>
      </ul>
      <p>Premium kalitede boutique mayo, farklı renk ve beden seçenekleri ile.</p>
    </div>
  "",Sayina,Giyim > Kadın > Plaj & Mayo,Mayo,"boutique,mayo,swimwear,yüzücü,plaj",TRUE,Renk,Sarı,Beden,38,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--sarı-38,100,shopify,10,deny,manual,1601.98,1676.73,TRUE,TRUE,,https://cdn.dsmcdn.com/ty1141/product/media/images/prod/SPM/PIM/20240120/13/e5dc40cb-6344-31b0-92df-81f262b9fbd7/1_org_zoom.jpg,1,Sayina sayina Kadın Sarı Tek Omuz Kemer Detaylı Balenli Özel Tasarım Astarlı Şık Butik Mayo,FALSE,sayina Kadın Sarı Tek Omuz Kemer Detaylı Balenli Özel Tasarım Astarlı Şık Butik Mayo,Sayina sayina Kadın Sarı Tek Omuz Kemer Detaylı Balenli Özel Tasarım Astarlı Şık Butik Mayo - Premium mayo koleksiyonu,Apparel & Accessories > Clothing > Swimwear,female,adult,,Mayo,"boutique,premium",new,TRUE,Sarı,38,1393.03,İndirimli,,,kg,,1393.03,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Sarı,,40,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--sarı-40,100,shopify,10,deny,manual,1601.98,1676.73,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,40,1393.03,İndirimli,,,kg,,1393.03,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Lacivert,,36,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--lacivert-36,100,shopify,10,deny,manual,3541.10,3615.91,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,36,3079.22,İndirimli,,,kg,,3079.22,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Lacivert,,38,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--lacivert-38,100,shopify,10,deny,manual,3541.10,3615.91,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,38,3079.22,İndirimli,,,kg,,3079.22,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Lacivert,,42,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--lacivert-42,100,shopify,10,deny,manual,3541.10,3615.91,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,42,3079.22,İndirimli,,,kg,,3079.22,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Lacivert,,44,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--lacivert-44,100,shopify,10,deny,manual,3541.10,3615.91,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,44,3079.22,İndirimli,,,kg,,3079.22,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,İndigo Mavi,,38,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--i̇ndigo mavi-38,100,shopify,10,deny,manual,1601.98,1676.73,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,38,1393.03,İndirimli,,,kg,,1393.03,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,İndigo Mavi,,40,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--i̇ndigo mavi-40,100,shopify,10,deny,manual,1601.98,1676.73,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,40,1393.03,İndirimli,,,kg,,1393.03,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Lila,,38,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--lila-38,100,shopify,10,deny,manual,1601.98,1676.73,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,38,1393.03,İndirimli,,,kg,,1393.03,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Lila,,40,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--lila-40,100,shopify,10,deny,manual,1601.98,1676.73,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,40,1393.03,İndirimli,,,kg,,1393.03,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Mor,,38,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--mor-38,100,shopify,10,deny,manual,1601.98,1676.73,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,38,1393.03,İndirimli,,,kg,,1393.03,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Mor,,40,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--mor-40,100,shopify,10,deny,manual,1601.98,1676.73,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,40,1393.03,İndirimli,,,kg,,1393.03,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Bordo,,36,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--bordo-36,100,shopify,10,deny,manual,3541.10,3615.91,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,36,3079.22,İndirimli,,,kg,,3079.22,,,active
