Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
peelter-kadin-yazlik-u-yaka-alti-sortlu-elbise,peelter Kadın Yazlık U Yaka Altı Şortlu Elbise,,peelter,,,,TRUE,,,Beden,XS,,,944009367-tekrenk-XS,0,shopify,100,deny,manual,324,,TRUE,TRUE,,https://cdn.dsmcdn.com/ty1691/prod/QC_PREP/20250611/13/1c342285-8aec-3b33-b131-f10932641a2c/1_org.jpg,1,peelter Kadın Yazlık U Yaka Altı Şortlu Elbise,FALSE,peelter Kadın Yazlık U Yaka Altı Şortlu Elbise,,,,,,,,new,FALSE,,,,,,,kg,,
peelter-kadin-yazlik-u-yaka-alti-sortlu-elbise,,,peelter,,,,TRUE,,,Beden,S,,,944009367-tekrenk-S,0,shopify,100,deny,manual,324,,TRUE,TRUE,,,,,FALSE,,,,,,,,,new,FALSE,,,,,,,kg,,
peelter-kadin-yazlik-u-yaka-alti-sortlu-elbise,,,peelter,,,,TRUE,,,Beden,M,,,944009367-tekrenk-M,0,shopify,100,deny,manual,324,,TRUE,TRUE,,,,,FALSE,,,,,,,,,new,FALSE,,,,,,,kg,,
peelter-kadin-yazlik-u-yaka-alti-sortlu-elbise,,,peelter,,,,TRUE,,,Beden,L,,,944009367-tekrenk-L,0,shopify,100,deny,manual,324,,TRUE,TRUE,,,,,FALSE,,,,,,,,,new,FALSE,,,,,,,kg,,
peelter-kadin-yazlik-u-yaka-alti-sortlu-elbise,,,peelter,,,,TRUE,,,Beden,XL,,,944009367-tekrenk-XL,0,shopify,100,deny,manual,324,,TRUE,TRUE,,,,,FALSE,,,,,,,,,new,FALSE,,,,,,,kg,,
peelter-kadin-yazlik-u-yaka-alti-sortlu-elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty1689/prod/QC_PREP/20250611/13/8fbf3e00-5e2e-3db5-b7af-0a057bea172b/1_org.jpg,2,peelter Kadın Yazlık U Yaka Altı Şortlu Elbise,,,,,,,,,,,,,,,,,,,,
peelter-kadin-yazlik-u-yaka-alti-sortlu-elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty1690/prod/QC_PREP/20250611/13/1f493389-d433-348f-99d6-13ef5e6524a9/1_org.jpg,3,peelter Kadın Yazlık U Yaka Altı Şortlu Elbise,,,,,,,,,,,,,,,,,,,,
peelter-kadin-yazlik-u-yaka-alti-sortlu-elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty1689/prod/QC_PREP/20250611/13/4c2388c7-a9e8-361b-885e-3fc2e8a5e2d3/1_org.jpg,4,peelter Kadın Yazlık U Yaka Altı Şortlu Elbise,,,,,,,,,,,,,,,,,,,,
peelter-kadin-yazlik-u-yaka-alti-sortlu-elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty1689/prod/QC_PREP/20250611/13/813031a1-e01f-38a1-9998-9334a3bb0554/1_org.jpg,5,peelter Kadın Yazlık U Yaka Altı Şortlu Elbise,,,,,,,,,,,,,,,,,,,,
peelter-kadin-yazlik-u-yaka-alti-sortlu-elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty1635/prod/QC/20250211/00/39ffe394-984b-383a-832e-e1704ece3694/1_org.jpg,6,peelter Kadın Yazlık U Yaka Altı Şortlu Elbise,,,,,,,,,,,,,,,,,,,,
peelter-kadin-yazlik-u-yaka-alti-sortlu-elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty1632/prod/QC/20250206/22/bc11dbd8-d04d-3ab9-aa1d-9b2ff6338b11/1_org.jpg,7,peelter Kadın Yazlık U Yaka Altı Şortlu Elbise,,,,,,,,,,,,,,,,,,,,
peelter-kadin-yazlik-u-yaka-alti-sortlu-elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty1656/prod/QC/20250331/23/bda58f6d-dca0-3abb-b024-8d86712d7447/1_org.jpg,8,peelter Kadın Yazlık U Yaka Altı Şortlu Elbise,,,,,,,,,,,,,,,,,,,,
peelter-kadin-yazlik-u-yaka-alti-sortlu-elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty1669/prod/QC/20250425/17/92c50859-67d8-3862-9482-cd0c0ca630b3/1_org.jpg,9,peelter Kadın Yazlık U Yaka Altı Şortlu Elbise,,,,,,,,,,,,,,,,,,,,
peelter-kadin-yazlik-u-yaka-alti-sortlu-elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty1660/prod/QC/20250409/01/04bc9cf7-70f2-354d-82e3-73ab80c123a9/1_org.jpg,10,peelter Kadın Yazlık U Yaka Altı Şortlu Elbise,,,,,,,,,,,,,,,,,,,,
